Channel 1,Channel 2,Channel 3,Channel 4,Class,Row Number,Session,Subject
-1000.0,-10.25390625,-425.78125,-847.65625,0,39,6,Shawn
-507.32421875,435.05859375,-354.00390625,531.73828125,0,40,6,Shawn
-922.8515625,-527.34375,-394.53125,-1000.0,0,41,6,Shawn
747.0703125,-1000.0,-437.5,-836.9140625,0,42,6,Shawn
-831.54296875,-292.96875,-357.421875,701.171875,0,43,6,Shawn
-1000.0,500.0,-311.5234375,-953.61328125,0,44,6,Shawn
446.2890625,-271.97265625,-395.01953125,-407.71484375,0,45,6,Shawn
-793.45703125,-1000.0,-487.3046875,-1000.0,0,46,6,Shawn
-110.83984375,-623.53515625,-506.8359375,-4.8828125,0,47,6,Shawn
-1000.0,413.0859375,-389.6484375,-768.06640625,0,48,6,Shawn
-126.46484375,51.7578125,-322.265625,163.0859375,0,49,6,Shawn
-769.04296875,-983.88671875,-440.4296875,-1000.0,0,50,6,Shawn
255.37109375,-850.5859375,-505.859375,-220.703125,0,51,6,Shawn
-1000.0,187.5,-436.5234375,-782.2265625,0,52,6,Shawn
-237.79296875,332.03125,-330.078125,272.4609375,0,53,6,Shawn
-778.80859375,-717.7734375,-303.7109375,-1000.0,0,54,6,Shawn
414.55078125,-1000.0,-398.92578125,-508.7890625,0,55,6,Shawn
-1000.0,-111.81640625,-484.375,-915.0390625,0,56,6,Shawn
-607.91015625,444.3359375,-370.60546875,652.83203125,0,57,6,Shawn
994.140625,-463.37890625,-375.9765625,-905.76171875,0,58,6,Shawn
895.5078125,-1000.0,-518.06640625,-1000.0,0,59,6,Shawn
-624.0234375,-417.96875,-534.1796875,428.7109375,0,60,6,Shawn
-1000.0,481.93359375,-358.88671875,-832.51953125,0,61,6,Shawn
240.72265625,-184.08203125,-329.1015625,-211.42578125,0,62,6,Shawn
-760.25390625,-1000.0,-492.67578125,-1000.0,0,63,6,Shawn
6.34765625,-682.12890625,-502.44140625,-97.16796875,0,64,6,Shawn
-1000.0,393.06640625,-320.80078125,-772.4609375,0,65,6,Shawn
-206.54296875,165.0390625,-206.54296875,237.3046875,0,66,6,Shawn
-783.69140625,-921.38671875,-399.90234375,-1000.0,0,67,6,Shawn
268.06640625,-900.87890625,-544.921875,-253.41796875,0,68,6,Shawn
-1000.0,130.859375,-426.7578125,-786.62109375,0,69,6,Shawn
-306.15234375,367.1875,-334.47265625,339.35546875,0,70,6,Shawn
-807.6171875,-669.43359375,-442.3828125,-1000.0,0,71,6,Shawn
519.53125,-1000.0,-544.43359375,-625.48828125,0,72,6,Shawn
-1000.0,-174.8046875,-474.609375,980.95703125,0,73,6,Shawn
-749.0234375,474.609375,-335.9375,785.15625,0,74,6,Shawn
828.125,-402.83203125,-396.97265625,-770.99609375,0,75,6,Shawn
-968.75,-1000.0,-522.94921875,-1000.0,0,76,6,Shawn
-438.96484375,-470.703125,-472.16796875,287.59765625,0,77,6,Shawn
-1000.0,492.67578125,-306.15234375,-791.015625,0,78,6,Shawn
111.328125,-101.5625,-315.91796875,-88.37890625,0,79,6,Shawn
-750.9765625,-1000.0,-483.3984375,-1000.0,0,80,6,Shawn
123.53515625,-720.21484375,-441.89453125,-160.64453125,0,81,6,Shawn
-1000.0,339.35546875,-329.1015625,-780.76171875,0,82,6,Shawn
-218.26171875,188.4765625,-372.55859375,264.16015625,0,83,6,Shawn
-781.25,-874.0234375,-454.1015625,-1000.0,0,84,6,Shawn
270.99609375,-936.03515625,-499.51171875,-321.77734375,0,85,6,Shawn
-1000.0,47.36328125,-457.03125,-811.5234375,0,86,6,Shawn
-411.62109375,400.87890625,-374.0234375,429.19921875,0,87,6,Shawn
-857.91015625,-591.796875,-402.34375,-1000.0,0,88,6,Shawn
625.0,-1000.0,-454.58984375,-753.41796875,0,89,6,Shawn
-968.75,-241.2109375,-429.6875,827.1484375,0,90,6,Shawn
-885.7421875,494.140625,-356.93359375,926.26953125,0,91,6,Shawn
630.37109375,-327.63671875,-345.703125,-594.7265625,0,92,6,Shawn
-846.6796875,-1000.0,-384.27734375,-1000.0,0,93,6,Shawn
-240.72265625,-553.7109375,-462.890625,132.8125,0,94,6,Shawn
-1000.0,441.40625,-400.87890625,-769.53125,0,95,6,Shawn
-12.6953125,-35.64453125,-353.02734375,38.0859375,0,96,6,Shawn
-752.44140625,-1000.0,-471.6796875,-1000.0,0,97,6,Shawn
242.1875,-800.78125,-538.0859375,-208.49609375,0,98,6,Shawn
-1000.0,248.046875,-439.94140625,-786.1328125,0,99,6,Shawn
-234.86328125,263.18359375,-345.21484375,271.484375,0,100,6,Shawn
-775.87890625,-796.875,-392.08984375,-1000.0,0,101,6,Shawn
311.5234375,-970.703125,-451.66015625,-399.90234375,0,102,6,Shawn
-1000.0,-23.92578125,-443.84765625,-850.5859375,0,103,6,Shawn
-512.6953125,461.9140625,-260.25390625,564.453125,0,104,6,Shawn
-928.22265625,-492.67578125,-280.2734375,-991.2109375,0,105,6,Shawn
758.30078125,-1000.0,-535.64453125,-900.390625,0,106,6,Shawn
-815.91796875,-334.47265625,-514.6484375,646.97265625,0,107,6,Shawn
