Channel_0,Average_0,Time,Time_Average,Channel_1,Average_1,Channel_3,Average_3,Blink,Don't Use,Blink_Averaged
-2917.108876,#DIV/0!,23.368,#DIV/0!,-3482.497601,#DIV/0!,-2437.790208,#DIV/0!,0,#DIV/0!,
-2929.745998,#DIV/0!,23.368,#DIV/0!,-3492.225081,#DIV/0!,-2460.693355,#DIV/0!,0,#DIV/0!,
-2909.277525,#DIV/0!,23.384,#DIV/0!,-3479.008275,#DIV/0!,-2369.394917,#DIV/0!,0,#DIV/0!,
-2924.012731,#DIV/0!,23.384,#DIV/0!,-3489.098525,#DIV/0!,-2404.146068,#DIV/0!,0,#DIV/0!,
-2935.598941,#DIV/0!,23.385,#DIV/0!,-3502.865096,#DIV/0!,-2469.515779,#DIV/0!,0,#DIV/0!,
-2923.436787,#DIV/0!,23.385,#DIV/0!,-3501.391576,#DIV/0!,-2396.037965,#DIV/0!,0,#DIV/0!,
-2908.71654,#DIV/0!,23.398,#DIV/0!,-3485.272607,#DIV/0!,-2376.583005,#DIV/0!,0,#DIV/0!,
-2927.348722,#DIV/0!,23.398,#DIV/0!,-3498.145343,#DIV/0!,-2464.006907,#DIV/0!,0,#DIV/0!,
-2930.105028,#DIV/0!,23.414,#DIV/0!,-3494.611137,#DIV/0!,-2435.879119,#DIV/0!,0,#DIV/0!,
-2910.679988,#DIV/0!,23.414,#DIV/0!,-3485.134231,#DIV/0!,-2369.256541,#DIV/0!,0,#DIV/0!,
-2917.927914,#DIV/0!,23.415,#DIV/0!,-3488.301926,#DIV/0!,-2432.920858,#DIV/0!,0,#DIV/0!,
-2938.590861,#DIV/0!,23.415,#DIV/0!,-3499.989113,#DIV/0!,-2466.366783,#DIV/0!,0,#DIV/0!,
-2918.866629,#DIV/0!,23.428,#DIV/0!,-3482.774354,#DIV/0!,-2377.259927,#DIV/0!,0,#DIV/0!,
-2913.458733,#DIV/0!,23.428,#DIV/0!,-3478.305173,#DIV/0!,-2401.558057,#DIV/0!,0,#DIV/0!,
-2930.572516,#DIV/0!,23.444,#DIV/0!,-3503.717794,#DIV/0!,-2470.192701,#DIV/0!,0,#DIV/0!,
-2913.653208,#DIV/0!,23.444,#DIV/0!,-3488.055093,#DIV/0!,-2397.137495,#DIV/0!,0,#DIV/0!,
-2888.072293,#DIV/0!,23.445,#DIV/0!,-3465.458617,#DIV/0!,-2362.117072,#DIV/0!,0,#DIV/0!,
-2912.250746,#DIV/0!,23.445,#DIV/0!,-3479.356085,#DIV/0!,-2451.874671,#DIV/0!,0,#DIV/0!,
-2914.69664,#DIV/0!,23.458,#DIV/0!,-3489.921303,#DIV/0!,-2427.138973,#DIV/0!,0,#DIV/0!,
-2898.27474,#DIV/0!,23.458,#DIV/0!,-3475.107559,#DIV/0!,-2367.091139,#DIV/0!,0,#DIV/0!,
-2907.579611,#DIV/0!,23.474,#DIV/0!,-3484.449829,#DIV/0!,-2427.894433,#DIV/0!,0,#DIV/0!,
