Channel 1,Channel 2,Channel 3,Channel 4,Class,Row Number,Session,Subject
-936.5234375,-103.515625,-533.203125,-1000.0,0,55,6,Shawn
-839.84375,101.07421875,-119.62890625,-616.2109375,0,56,6,Shawn
687.98828125,-520.99609375,-114.74609375,774.4140625,0,57,6,Shawn
-846.19140625,-829.58984375,-567.87109375,333.49609375,0,58,6,Shawn
-205.078125,-248.53515625,-669.43359375,-1000.0,0,59,6,Shawn
-1000.0,145.5078125,-197.265625,-831.54296875,0,60,6,Shawn
16.6015625,-346.6796875,-44.921875,532.2265625,0,61,6,Shawn
-747.55859375,-839.84375,-485.83984375,579.58984375,0,62,6,Shawn
223.6328125,-398.92578125,-736.81640625,-779.78515625,0,63,6,Shawn
-1000.0,128.90625,-307.6171875,-994.140625,0,64,6,Shawn
-234.375,-169.43359375,34.66796875,254.8828125,0,65,6,Shawn
-775.87890625,-845.21484375,-255.859375,967.28515625,0,66,6,Shawn
334.9609375,-634.27734375,-684.5703125,-310.05859375,0,67,6,Shawn
-1000.0,62.5,-428.7109375,-1000.0,0,68,6,Shawn
-493.1640625,-23.4375,93.26171875,-12.6953125,0,69,6,Shawn
-919.921875,-725.09765625,-148.92578125,948.73046875,0,70,6,Shawn
759.27734375,-735.3515625,-698.2421875,-45.8984375,0,71,6,Shawn
-810.546875,-68.84765625,-563.4765625,-1000.0,0,72,6,Shawn
-995.60546875,130.859375,-54.6875,-583.984375,0,73,6,Shawn
462.890625,-483.3984375,-110.83984375,697.265625,0,74,6,Shawn
-792.48046875,-802.734375,-610.3515625,315.4296875,0,75,6,Shawn
-91.796875,-247.0703125,-661.1328125,-954.1015625,0,76,6,Shawn
-1000.0,189.453125,-174.8046875,-910.15625,0,77,6,Shawn
-98.14453125,-261.71875,-3.90625,420.41015625,0,78,6,Shawn
-761.71875,-845.703125,-443.84765625,698.73046875,0,79,6,Shawn
250.9765625,-443.84765625,-647.94921875,-605.95703125,0,80,6,Shawn
-1000.0,145.01953125,-242.67578125,-1000.0,0,81,6,Shawn
-239.2578125,-61.03515625,-79.58984375,-168.9453125,0,82,6,Shawn
-779.78515625,-699.70703125,-381.8359375,697.265625,0,83,6,Shawn
449.70703125,-619.140625,-709.47265625,-238.76953125,0,84,6,Shawn
-1000.0,3.41796875,-484.86328125,-1000.0,0,85,6,Shawn
-564.94140625,44.921875,-89.84375,-454.58984375,0,86,6,Shawn
-987.79296875,-583.49609375,-222.65625,725.5859375,0,87,6,Shawn
923.828125,-735.3515625,-642.578125,69.3359375,0,88,6,Shawn
-580.56640625,-131.8359375,-559.08203125,-1000.0,0,89,6,Shawn
-1000.0,123.046875,-93.75,-712.40234375,0,90,6,Shawn
302.734375,-432.6171875,-79.1015625,649.4140625,0,91,6,Shawn
-760.25390625,-854.00390625,-429.19921875,593.26171875,0,92,6,Shawn
36.1328125,-362.3046875,-599.609375,-829.1015625,0,93,6,Shawn
-1000.0,156.25,-268.06640625,-1000.0,0,94,6,Shawn
-180.17578125,-224.609375,-45.41015625,285.15625,0,95,6,Shawn
-772.94921875,-822.75390625,-408.69140625,713.37890625,0,96,6,Shawn
262.20703125,-498.046875,-740.72265625,-589.35546875,0,97,6,Shawn
-1000.0,103.02734375,-403.80859375,-1000.0,0,98,6,Shawn
-291.9921875,-68.359375,-27.34375,-100.5859375,0,99,6,Shawn
-803.7109375,-736.328125,-283.69140625,835.9375,0,100,6,Shawn
529.296875,-667.48046875,-670.41015625,-180.17578125,0,101,6,Shawn
-1000.0,-18.06640625,-484.375,-1000.0,0,102,6,Shawn
-732.91015625,44.921875,21.97265625,-275.390625,0,103,6,Shawn
824.70703125,-647.4609375,-19.53125,-957.03125,0,104,6,Shawn
-938.96484375,-802.24609375,-636.23046875,86.9140625,0,105,6,Shawn
-390.13671875,-166.015625,-656.25,-1000.0,0,106,6,Shawn
-1000.0,139.16015625,-140.625,-788.0859375,0,107,6,Shawn
162.59765625,-357.91015625,-103.02734375,407.71484375,0,108,6,Shawn
-745.60546875,-801.26953125,-568.359375,417.96875,0,109,6,Shawn
148.92578125,-348.14453125,-704.58984375,-845.21484375,0,110,6,Shawn
-1000.0,147.4609375,-249.51171875,-1000.0,0,111,6,Shawn
-223.14453125,-175.29296875,-52.24609375,96.6796875,0,112,6,Shawn
-776.85546875,-794.43359375,-379.39453125,731.4453125,0,113,6,Shawn
268.06640625,-560.05859375,-636.71875,-374.0234375,0,114,6,Shawn
-1000.0,91.30859375,-287.109375,-1000.0,0,115,6,Shawn
-368.65234375,-11.23046875,6.8359375,-215.33203125,0,116,6,Shawn
-842.7734375,-681.15234375,-296.875,724.12109375,0,117,6,Shawn
612.3046875,-667.96875,-669.43359375,-185.05859375,0,118,6,Shawn
-976.5625,-55.6640625,-508.7890625,-1000.0,0,119,6,Shawn
-835.9375,87.890625,-106.93359375,-606.4453125,0,120,6,Shawn
685.05859375,-515.625,-183.59375,666.015625,0,121,6,Shawn
-856.93359375,-803.7109375,-593.75,241.69921875,0,122,6,Shawn
-234.375,-240.72265625,-614.74609375,-1000.0,0,123,6,Shawn
-1000.0,138.18359375,-185.546875,-846.6796875,0,124,6,Shawn
29.296875,-337.890625,-50.78125,460.9375,0,125,6,Shawn
-748.046875,-895.5078125,-343.26171875,898.4375,0,126,6,Shawn
211.9140625,-508.7890625,-527.83203125,-375.48828125,0,127,6,Shawn
-1000.0,101.5625,-296.875,-1000.0,0,128,6,Shawn
-232.421875,-123.53515625,-79.58984375,23.92578125,0,129,6,Shawn
-775.87890625,-785.15625,-354.00390625,825.68359375,0,130,6,Shawn
328.61328125,-605.46875,-710.9375,-349.12109375,0,131,6,Shawn
-1000.0,49.8046875,-469.23828125,-1000.0,0,132,6,Shawn
-463.8671875,7.8125,-22.94921875,-246.09375,0,133,6,Shawn
-903.3203125,-689.453125,-172.8515625,942.87109375,0,134,6,Shawn
747.0703125,-744.140625,-670.41015625,-33.203125,0,135,6,Shawn
-810.546875,-81.0546875,-591.796875,-1000.0,0,136,6,Shawn
-1000.0,108.3984375,-60.05859375,-545.41015625,0,137,6,Shawn
448.73046875,-498.046875,13.18359375,825.68359375,0,138,6,Shawn
