Channel 1,Channel 2,Channel 3,Channel 4,Class,Row Number,Session,Subject
104.98046875,-161.62109375,-907.2265625,-1000.0,0,40,6,Shawn
-145.5078125,-193.359375,-716.30859375,-297.36328125,0,41,6,Shawn
-822.265625,-578.125,71.2890625,-808.59375,0,42,6,Shawn
-686.03515625,-633.30078125,26.85546875,430.17578125,0,43,6,Shawn
-62.01171875,-253.90625,-735.83984375,-1000.0,0,44,6,Shawn
-38.57421875,-99.12109375,-856.93359375,-755.37109375,0,45,6,Shawn
-566.40625,-457.51953125,-158.69140625,787.59765625,0,46,6,Shawn
-755.37109375,-699.21875,124.0234375,888.18359375,0,47,6,Shawn
-286.1328125,-367.1875,-506.8359375,-593.75,0,48,6,Shawn
102.05078125,-85.44921875,-962.40234375,-1000.0,0,49,6,Shawn
-332.51953125,-345.21484375,-401.85546875,78.125,0,50,6,Shawn
-832.03125,-688.96484375,177.24609375,-802.734375,0,51,6,Shawn
-483.3984375,-471.6796875,-275.390625,-2.9296875,0,52,6,Shawn
-28.80859375,-90.8203125,-894.53125,-1000.0,0,53,6,Shawn
-276.85546875,-250.48828125,-562.01171875,-169.921875,0,54,6,Shawn
-756.8359375,-652.83203125,108.3984375,-780.76171875,0,55,6,Shawn
-707.03125,-556.15234375,-53.22265625,285.15625,0,56,6,Shawn
-273.92578125,-142.08984375,-724.12109375,-1000.0,0,57,6,Shawn
-10.7421875,-169.921875,-790.52734375,-451.66015625,0,58,6,Shawn
-532.71484375,-567.87109375,-86.42578125,-887.20703125,0,59,6,Shawn
-781.73828125,-649.90234375,83.0078125,555.6640625,0,60,6,Shawn
-150.390625,-283.203125,-650.87890625,-982.421875,0,61,6,Shawn
192.3828125,-121.09375,-958.0078125,-885.25390625,0,62,6,Shawn
-378.41796875,-445.3125,-280.2734375,620.1171875,0,63,6,Shawn
-859.375,-686.03515625,178.22265625,-996.09375,0,64,6,Shawn
-434.5703125,-377.44140625,-395.99609375,-458.49609375,0,65,6,Shawn
12.20703125,-73.2421875,-916.015625,-1000.0,0,66,6,Shawn
-372.0703125,-316.89453125,-423.33984375,29.78515625,0,67,6,Shawn
-996.58203125,-644.53125,281.25,-780.76171875,0,68,6,Shawn
-640.625,-468.75,-118.1640625,118.65234375,0,69,6,Shawn
168.9453125,-141.6015625,-956.54296875,-1000.0,0,70,6,Shawn
-46.38671875,-242.67578125,-703.125,-240.72265625,0,71,6,Shawn
-766.11328125,-617.67578125,85.44921875,-791.50390625,0,72,6,Shawn
-615.234375,-591.796875,-56.15234375,312.98828125,0,73,6,Shawn
62.5,-209.47265625,-831.54296875,-1000.0,0,74,6,Shawn
31.73828125,-157.2265625,-838.8671875,-486.328125,0,75,6,Shawn
-630.37109375,-522.94921875,-79.1015625,-931.15234375,0,76,6,Shawn
-878.41796875,-651.85546875,147.4609375,693.84765625,0,77,6,Shawn
-257.32421875,-304.6875,-571.2890625,-870.1171875,0,78,6,Shawn
45.8984375,-93.26171875,-915.52734375,-901.85546875,0,79,6,Shawn
-693.84765625,-378.90625,-180.6640625,591.30859375,0,80,6,Shawn
-936.03515625,-690.4296875,223.6328125,-907.2265625,0,81,6,Shawn
-292.48046875,-440.4296875,-418.45703125,-268.06640625,0,82,6,Shawn
156.73828125,-101.07421875,-981.4453125,-1000.0,0,83,6,Shawn
-216.30859375,-304.6875,-528.3203125,-89.35546875,0,84,6,Shawn
-793.45703125,-676.7578125,139.6484375,-784.66796875,0,85,6,Shawn
-502.9296875,-527.83203125,-198.73046875,180.17578125,0,86,6,Shawn
72.265625,-138.18359375,-903.3203125,-1000.0,0,87,6,Shawn
-51.7578125,-212.890625,-719.7265625,-298.828125,0,88,6,Shawn
-742.1875,-591.30859375,56.640625,-812.01171875,0,89,6,Shawn
-793.9453125,-581.54296875,52.24609375,371.58203125,0,90,6,Shawn
-337.40234375,-177.734375,-634.765625,-1000.0,0,91,6,Shawn
-161.1328125,-98.6328125,-778.3203125,-685.05859375,0,92,6,Shawn
-442.3828125,-501.46484375,-185.546875,871.09375,0,93,6,Shawn
-756.34765625,-688.96484375,107.421875,827.1484375,0,94,6,Shawn
-334.9609375,-334.9609375,-510.7421875,-686.03515625,0,95,6,Shawn
82.03125,-86.42578125,-937.01171875,-1000.0,0,96,6,Shawn
-263.671875,-388.671875,-401.85546875,247.0703125,0,97,6,Shawn
-838.8671875,-696.77734375,169.921875,-811.03515625,0,98,6,Shawn
-479.00390625,-450.1953125,-304.19921875,-71.2890625,0,99,6,Shawn
162.109375,-112.79296875,-976.5625,-1000.0,0,100,6,Shawn
-206.0546875,-283.69140625,-577.1484375,-135.25390625,0,101,6,Shawn
