Channel 1,Channel 2,Channel 3,Channel 4,Timestamp
-15.055469,-15.231775,-186.96182,-14.944636,281.0
-12.690792,-12.774443,-160.42216,-12.575599,282.0
-8.59041,-8.230506,-112.775856,-8.5334015,283.0
-6.034297,-5.7006354,-78.6521,-5.9666233,284.0
-6.945591,-7.317404,-87.27671,-6.9137015,285.0
-7.245518,-7.531156,-91.30144,-7.2374783,286.0
-5.0343184,-3.9358332,-66.3702,-5.0450234,287.0
-4.4278193,-3.1347847,-58.87321,-4.468756,288.0
-5.3966117,-6.0530834,-67.09511,-5.3723793,289.0
-3.5589383,-4.472871,-43.46192,-3.5279057,290.0
-0.80758077,4.843302,-11.228771,-0.7909725,291.0
0.058895223,9.957351,-0.26634243,0.12057402,292.0
1.4563565,0.35612798,19.422646,1.5429873,293.0
4.721818,-2.705659,61.48405,4.7147193,294.0
7.0061164,9.940564,86.99412,6.8649073,295.0
7.688699,16.197218,92.80962,7.5717463,296.0
10.313558,9.581445,127.75846,10.227918,297.0
14.101051,3.9500134,176.68954,14.015759,298.0
15.629207,14.311012,194.66574,15.61732,299.0
15.823548,28.67619,196.09506,15.766101,300.0
17.208746,21.55821,214.82202,17.107798,301.0
18.25834,3.6858091,229.57936,18.246752,302.0
16.781342,9.058078,209.30984,16.723825,303.0
16.418043,29.335686,204.36568,16.318495,304.0
18.136467,25.190046,227.47246,18.128767,305.0
17.718622,1.9069748,222.6312,17.77997,306.0
15.473581,3.3115432,194.66057,15.534445,307.0
14.142075,28.065521,177.05518,14.111375,308.0
13.125296,25.918772,164.44293,13.024686,309.0
10.213288,-5.724144,128.38406,10.10633,310.0
7.95515,-8.0140085,99.820114,7.852176,311.0
8.292094,28.400164,105.2098,8.224755,312.0
7.6903534,34.052135,97.37812,7.690341,313.0
7.2287893,-8.461451,91.04341,7.2756457,314.0
8.495826,-17.345331,107.505424,8.598956,315.0
7.8628078,34.079567,99.51609,7.9769535,316.0
3.79531,52.479713,48.01247,3.779925,317.0
-0.25147474,-11.438347,-3.2449923,-0.30217418,318.0
-0.85431796,-47.498146,-9.3792305,-0.8368562,319.0
-0.790274,7.2867603,-7.845352,-0.7947486,320.0
-1.9999264,43.427105,-24.338415,-2.0175133,321.0
-2.1542182,-5.016857,-25.982094,-2.1373084,322.0
-1.9631675,-55.666615,-22.881525,-1.8910884,323.0
-3.186957,-16.848982,-39.251812,-3.1325793,324.0
-3.8742356,41.413433,-48.947887,-3.8974128,325.0
-2.313063,7.450387,-28.764423,-2.2460322,326.0
-1.7941227,-58.49883,-21.65805,-1.6643295,327.0
-3.8583233,-36.46162,-47.97359,-3.8381832,328.0
-4.4940734,24.875988,-55.566227,-4.4780874,329.0
-4.155689,8.132136,-51.105106,-4.107258,330.0
-6.782101,-51.573704,-85.600716,-6.8117394,331.0
-9.696727,-46.030514,-122.942085,-9.757869,332.0
-10.296158,-11.319701,-128.92046,-10.315074,333.0
-11.612444,-22.533882,-144.59398,-11.577146,334.0
-14.435102,-31.52324,-180.92297,-14.360134,335.0
-15.540035,-21.332773,-194.65765,-15.467109,336.0
-13.180403,-25.079361,-164.42493,-13.148981,337.0
-10.16648,-30.059174,-127.719406,-10.208773,338.0
