Channel 1,Channel 2,Channel 3,Channel 4,Timestamp
0.16789708,10.568915,126.803154,99.734764,885.0
0.03571997,-30.244936,97.69154,94.78222,886.0
0.024752038,-22.552647,75.706345,75.336205,887.0
0.086091205,6.427876,50.889225,-0.46589467,888.0
-0.016708119,0.11083774,1.0365663,-34.379433,889.0
-0.17599562,-5.8669376,-56.51983,0.87434053,890.0
-0.24940886,8.795471,-106.31331,-37.21296,891.0
-0.19370939,-11.0949335,-158.33488,-152.1548,892.0
-0.17364246,-47.924423,-208.41399,-184.9699,893.0
-0.29776537,-19.608246,-232.62425,-165.37009,894.0
-0.28743497,11.43387,-234.63799,-168.17041,895.0
-0.25101694,-14.776531,-254.73793,-194.08879,896.0
-0.2985941,-3.6191247,-266.63974,-196.3058,897.0
-0.253512,40.186954,-229.86934,-181.26878,898.0
-0.19171315,26.486889,-196.25314,-176.22206,899.0
-0.23554733,-2.2590911,-187.33139,-139.31808,900.0
-0.296607,8.588681,-168.28706,-101.491135,901.0
-0.19235879,26.642698,-130.21254,-107.02385,902.0
-0.033057366,17.53761,-95.85845,-113.09428,903.0
-0.06408863,-10.108411,-84.75217,-68.429756,904.0
-0.21399368,-12.022672,-71.80661,-13.871533,905.0
-0.17795202,6.820099,-47.834072,-35.06406,906.0
0.03835006,-3.6175096,-35.515232,-87.188324,907.0
0.096933864,-20.37878,-25.161726,-45.38654,908.0
-0.1514137,-4.0422735,-10.555815,43.04665,909.0
-0.24024415,2.646489,4.1142707,26.51348,910.0
0.19636205,-22.495995,27.419739,-53.052082,911.0
0.3246303,-17.586273,57.25282,-9.425518,912.0
-0.28296146,0.99272144,76.64409,101.03889,913.0
-0.48083153,-7.874137,81.66388,92.266304,914.0
0.29713258,2.9058752,89.41271,10.908489,915.0
0.6462051,26.601469,102.23476,22.164074,916.0
-0.14502478,15.897329,112.9493,104.61073,917.0
-0.5524861,-19.798267,105.98451,92.2151,918.0
0.28640822,-18.52331,89.98684,24.055862,919.0
0.8552334,17.716768,92.4942,37.98281,920.0
0.26931077,24.350332,97.56688,80.209076,921.0
-0.1349157,5.517515,100.5845,75.820656,922.0
0.38219145,0.6727711,101.18009,63.457764,923.0
0.9064255,11.4016285,96.233925,83.23909,924.0
0.41772804,5.657005,112.59636,109.81884,925.0
-0.23664719,8.697338,144.41107,117.95665,926.0
0.24486782,27.92692,175.11601,159.63104,927.0
0.7911238,16.97457,199.40141,225.66708,928.0
0.4195052,2.6738875,201.67613,222.04242,929.0
0.03975907,18.33368,203.19765,185.62228,930.0
0.1782025,30.178709,214.93413,213.94461,931.0
0.36724266,3.2842457,203.94295,254.83563,932.0
0.2135185,-18.215351,174.52544,214.5439,933.0
-0.05149566,-10.0491,136.74376,124.676506,934.0
-0.054555584,-18.770964,84.4593,84.38057,935.0
-0.04726054,-38.05811,29.496944,87.97017,936.0
-0.1681071,-36.067673,-26.038395,26.035158,937.0
-0.22245696,-33.16711,-92.06319,-106.53658,938.0
-0.2612564,-49.298992,-162.08499,-179.83415,939.0
-0.2672846,-54.356937,-209.94106,-157.0771,940.0
-0.26197043,-18.618359,-234.76758,-174.95786,941.0
-0.34956452,2.0155888,-258.04434,-276.13034,942.0
-0.3461359,-15.535419,-267.22098,-304.2935,943.0
-0.24714665,5.724957,-246.92278,-208.81975,944.0
-0.3150572,45.031498,-216.95247,-153.1896,945.0
-0.34743026,39.67967,-187.42691,-197.86603,946.0
-0.23247872,18.792278,-149.35754,-193.93077,947.0
-0.22482428,8.386271,-109.64928,-87.48783,948.0
-0.27266067,6.1476502,-81.47205,-21.297194,949.0
-0.25853416,27.27799,-38.874065,-41.93753,950.0
-0.120378494,47.300488,16.930569,-32.241184,951.0
-0.046904627,32.32658,27.09667,30.179972,952.0
-0.19641426,1.4255425,0.869907,49.03625,953.0
-0.10660549,-34.13731,-14.428672,-13.959886,954.0
0.15762897,-37.96855,-23.289583,-73.399055,955.0
0.10365934,-12.621311,-52.19859,-64.42064,956.0
-0.12600681,-21.04749,-105.426186,-66.9822,957.0
-0.15793271,-16.126585,-131.56964,-125.715546,958.0
0.07985731,37.963337,-101.20236,-148.40909,959.0
0.17436336,53.140278,-55.79617,-86.40834,960.0
-0.20549491,32.218624,-0.59744555,-67.12719,961.0
-0.41074544,26.959394,61.743027,-79.41111,962.0
0.23202963,3.3930564,84.02031,63.38039,963.0
0.53578687,-17.508064,84.23588,160.64365,964.0
0.010758189,-14.934632,100.09841,71.39894,965.0
-0.07712373,-3.5806692,132.5422,45.58462,966.0
0.30415174,4.3151073,165.61546,163.0721,967.0
0.4963758,-29.590944,161.48633,262.2553,968.0
0.21863542,-46.236317,143.60423,188.52556,969.0
-0.036490705,-22.636574,137.77231,84.30315,970.0
0.21727546,-22.444494,120.82255,124.96529,971.0
0.4044263,-2.7628846,137.35281,235.85928,972.0
0.1832893,44.543274,215.10712,296.52795,973.0
-0.06151232,55.560028,299.32468,316.21597,974.0
0.14467409,44.993122,359.49884,383.86768,975.0
0.40843284,40.14099,398.95883,457.66028,976.0
0.18851416,36.14124,420.11685,510.68207,977.0
-0.07908231,3.8384826,391.79886,585.52515,978.0
0.046637047,-69.93786,280.1492,433.3324,979.0
0.19973223,-109.48934,110.88532,19.391571,980.0
-0.18810666,-110.67528,-87.12814,-184.14081,981.0
-0.9280791,-129.9282,-301.46262,-324.3195,982.0
-0.9187956,-87.80144,-462.41028,-565.1175,983.0
-0.06693267,-1.7250696,-521.9177,-590.3569,984.0
0.036431294,31.39179,-518.3947,-570.5371,985.0
-0.39638478,70.2016,-445.07828,-521.995,986.0
-0.16036886,102.41726,-301.41467,-349.52448,987.0
0.31279612,81.87939,-159.97859,-205.33722,988.0
0.42597672,52.48052,-47.13773,-73.772316,989.0
0.19397742,30.57081,36.395885,97.74768,990.0
0.21734646,21.212793,68.18905,218.29393,991.0
0.33825865,-15.89023,23.920664,19.923737,992.0
0.12041958,-70.63347,-89.90681,-235.06815,993.0
-0.17680524,-74.67246,-235.32387,-240.00464,994.0
-0.3631679,-48.951897,-388.43912,-316.284,995.0
-0.315009,-32.414513,-520.05646,-545.95905,996.0
-0.43274027,-28.284168,-595.1711,-717.2574,997.0
-0.5685245,-1.270169,-596.3168,-717.33795,998.0
-0.47622475,27.697842,-535.1721,-693.33813,999.0
-0.36282027,22.495823,-434.72485,-577.15717,1000.0
-0.10661564,50.849144,-299.39767,-257.0326,1001.0
-0.10157648,95.3038,-155.77737,-131.86142,1002.0
-0.032124877,79.35737,-48.666218,-141.47174,1003.0
0.28363395,65.3366,52.526733,27.494133,1004.0
0.20289476,89.28597,177.44318,259.5793,1005.0
0.25832048,68.88872,261.31592,339.3911,1006.0
0.48418477,15.290874,308.87576,281.60153,1007.0
0.4169533,4.6279902,361.44705,361.1139,1008.0
0.2912107,14.418915,392.074,508.0904,1009.0
0.3420286,-3.7362995,413.89868,514.99316,1010.0
0.5492001,-35.528427,430.4878,452.43396,1011.0
0.4562103,-29.62541,435.63214,453.88437,1012.0
0.16267768,-17.119959,436.20728,526.2351,1013.0
0.130136,-54.781567,392.02216,489.73383,1014.0
0.27035186,-77.33092,319.68796,346.74057,1015.0
0.27095488,-62.713696,253.5926,258.8717,1016.0
-0.10462659,-57.02278,178.55028,219.30847,1017.0
-0.28244954,-41.550507,112.76799,164.28546,1018.0
0.18359625,-6.236341,83.13151,95.25564,1019.0
0.408086,12.654643,76.87466,79.34346,1020.0
-0.10352823,-14.556668,59.673073,67.97598,1021.0
-0.4271862,-31.16906,54.47341,43.608974,1022.0
0.062041514,-1.6257497,79.21911,97.820465,1023.0
0.35188738,2.6485648,76.78095,120.16874,1024.0
-0.15033449,-27.341906,47.612335,46.02332,1025.0
